,job_title,company_name,company_rating,company_location,job_descriptions
0,Jr. Big Data Developer,Enhance IT,3.1,United States,"Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management."
1,HCS IT Data & Interoperative Developer - Epic Clarity Reporting - IT Analytics,UNC Health Care,3.9,"Morrisville, NC 27560",The developer will support reporting for inpatient and hospital quality from Epic EHR.
2,Informatica Developer,Infosys Limited,3.9,"Raleigh, NC",Experience in preparing test scripts and test cases to validate data and maintaining data quality.
3,AbInitio Developer,Infosys Limited,3.9,"Raleigh, NC",Experience in preparing test scripts and test cases to validate data and maintaining data quality.
4,Data Architect,Onward Search,3.9,"Raleigh, NC","Participate in Data Governance Council with the objective of continuing to improve data quality, data availability, data security, and data maturity."
5,Big Data Developer,Credit Suisse,3.9,N/A,"Build and optimize ‘big data’ data pipelines, architectures and data sets."
6,BSA / Data Analyst,Ultimate Staffing Services,3.8,"Raleigh, NC 27513","Interact and coordinate with system developers and business subject matter experts on application changes, development, and deployment."
7,"Associate, Low Code Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
8,HCS IT Data & Interoperative Developer - Epic Clarity Reporting - IT Analytics,UNC Health,3.9,N/A,The developer will support reporting for inpatient and hospital quality from Epic EHR.
9,Research Data Scientist,RTI International,3.7,N/A,"Experience accessing, extracting, integrating, creating pipelines, and analyzing data from a wide variety of sources (e.g., relational databases, text and…"
10,Data Analyst,TrialCard,3.3,N/A,"Understanding of dimensional data modeling concepts, as well as data warehousing design highly desirable."
11,UX Research Intern,Lenovo,3.9,N/A,Detail-oriented with the ability to be pragmatic and keep the ‘big picture’ in mind.
12,Data Scientist,Peraton,3.3,N/A,"Create data mining architectures/models/protocols, statistical reporting, and data analysis methodologies to identify trends in large data sets."
13,Data Analyst/Programmer,RTI International,3.7,N/A,Organize data and construct analytic datasets from complex data sources.
14,Intern-Solution Engineer,Celonis SE,N/A,N/A,All rely on Celonis technology to unlock their full execution capacity and drive change to business processes.
15,Experienced Data Scientist,Itron,3.8,N/A,Responsible for completing predictive data analysis.
16,Test Data Management Delphix Architect,TCS,3.8,N/A,"Works directly with delivery partners and others to gather requirements, conduct data analysis, develop test data designs, and build test data solutions."
17,HCS IT Data & Interoperative Developer - Epic Clarity Reporting - IT Analytics,UNC Health,3.9,N/A,The developer will support reporting for inpatient and hospital quality from Epic EHR.
18,Data Engineer,IBM,3.9,N/A,Perform data analysis to validate data quality.
19,Intern-Solution Engineer,Celonis SE,N/A,N/A,All rely on Celonis technology to unlock their full execution capacity and drive change to business processes.
20,Data Scientist,Infinia ML,N/A,N/A,"3+ years experience in machine learning, data science, data engineering, and/or computational software development."
21,Senior Customer Support Engineer,Celonis,N/A,N/A,"You will form the internal interface between our customers and our consulting, data science, development, product management and OEM partner."
22,Staff Data Engineer,BitSight,N/A,N/A,"Collaborating with data science and research teams, you will build trust with Bitsight customers in the quality and integrity of our data."
23,Data Architect,Random Bit,N/A,N/A,Transactional data store data modelling design using relational and document data patterns.
24,CX Renewals - Data Analysis Manager,Cisco Systems,4.1,N/A,"5+ years experience with Tableau as a developer of data visualizations (preferably for dashboards), utilizing multiple integrated data sources."
25,Senior Customer Support Engineer,Celonis SE,N/A,N/A,"You will form the internal interface between our customers and our consulting, data science, development, product management and OEM partner."
26,SalesForce Developer,IQVIA,3.8,N/A,"12-15 years of experience in data modelling, data architecture in enterprise application with multiple databases or data lake."
27,Business Intelligence & Analytics Developer,North Carolina State University,4.2,N/A,"Coordinating with data engineers and systems analysts to build data environments providing data identified by data analysts, data integrators and subject matter…"
28,UX Data Analyst,Lenovo,3.9,N/A,Interface with industry partners and internal teams to share data and encourage positive usage of opt-in telemetry data to improve user experiences.
29,Lead Software Developer,S&P Global,3.9,N/A,"We integrate financial and industry data, research and news into tools that help track performance, generate alpha, identify investment ideas, understand…"
30,Data Scientist,Infinia ML,N/A,N/A,"3+ years experience in machine learning, data science, data engineering, and/or computational software development."
31,Intern-Solution Engineer,Celonis SE,N/A,N/A,All rely on Celonis technology to unlock their full execution capacity and drive change to business processes.
32,Experienced Data Scientist,Itron,3.8,N/A,Responsible for completing predictive data analysis.
33,Data Engineer,IBM,3.9,N/A,Perform data analysis to validate data quality.
34,Test Data Management Delphix Architect,TCS,3.8,N/A,"Works directly with delivery partners and others to gather requirements, conduct data analysis, develop test data designs, and build test data solutions."
35,Senior Customer Support Engineer,Celonis,N/A,N/A,"You will form the internal interface between our customers and our consulting, data science, development, product management and OEM partner."
36,Data Architect,Random Bit,N/A,N/A,Transactional data store data modelling design using relational and document data patterns.
37,Staff Data Engineer,BitSight,N/A,N/A,"Collaborating with data science and research teams, you will build trust with Bitsight customers in the quality and integrity of our data."
